day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,,,,SK와이번스,,,
4.7,SK 와이번스,10,0,1,2,1,0,1,인천,8.3,0,33,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
4.8,SK 와이번스,8,0,0,5,1,0,1,인천,10.6,0,68,,,5-15,9.086206897,1.198275862,0.706896552,7.301724138,0.646551724,0.715517241
4.11,SK 와이번스,6,1,3,13,0,0,1,서울,15.9,0,52,,,15-25,9.239685658,1.119842829,0.793713163,7.223968566,0.685658153,0.721021611
4.12,SK 와이번스,6,0,0,6,0,0,0,서울,10.3,0,35,,,25-35,9.558441558,1.140692641,0.751082251,6.902597403,0.731601732,0.668831169
4.13,SK 와이번스,6,0,0,13,0,0,1,인천,9.5,0,69,,,35-45,8.25,1.5,0.75,6.75,0,0.75
4.14,SK 와이번스,4,1,2,8,0,1,1,인천,11,0,77,,,총합계,9.35472044,1.138405133,0.766269478,7.094408799,0.698441797,0.698441797
4.15,SK 와이번스,12,2,1,7,0,1,1,인천,13.8,0,52,,,,,,,,,
4.17,SK 와이번스,8,0,1,10,0,0,0,부산,14.5,0,53,,,,,,,,,
4.18,SK 와이번스,15,2,1,7,0,1,1,부산,15.2,0,35,,,,,,,,,
4.19,SK 와이번스,11,2,0,12,3,0,0,부산,14.8,0,70,,,,,,,,,
4.2,SK 와이번스,7,1,0,5,0,0,0,서울,22.3,0,32,,,,,,,,,
4.24,SK 와이번스,1,1,1,5,0,1,0,인천,20.9,0,65,,,,,,,,,
4.26,SK 와이번스,6,0,0,10,0,0,0,인천,11.8,0,56,,,,,,,,,
4.27,SK 와이번스,10,1,2,7,0,0,1,인천,17,0,25,,,,,,,,,
4.28,SK 와이번스,11,1,0,6,0,0,1,인천,16.8,0,54,,,,,,,,,
4.29,SK 와이번스,6,1,0,7,0,1,0,인천,20.9,0,54,,,,,,,,,
5.4,SK 와이번스,8,3,0,13,0,0,1,인천,17.8,0,52,,,,,,,,,
5.5,SK 와이번스,6,0,0,7,1,1,0,인천,18.5,0,34,,,,,,,,,
5.6,SK 와이번스,9,3,1,8,1,0,1,인천,15.6,0,47,,,,,,,,,
5.8,SK 와이번스,7,0,0,7,1,0,1,서울,26.6,0,19,,,,,,,,,
5.9,SK 와이번스,14,2,0,5,1,0,1,서울,25,0,38,,,,,,,,,
5.1,SK 와이번스,11,1,2,3,1,2,0,서울,24.4,0,35,,,,,,,,,
5.11,SK 와이번스,9,2,1,6,0,0,0,인천,17.9,0,64,,,,,,,,,
5.12,SK 와이번스,3,0,1,3,0,0,1,인천,17.9,0,59,,,,,,,,,
5.13,SK 와이번스,6,1,0,3,1,0,1,대전,20.5,0,43,,,,,,,,,
5.15,SK 와이번스,10,0,0,4,0,1,0,인천,13.4,0,86,,,,,,,,,
5.16,SK 와이번스,13,1,0,6,0,3,1,인천,16.7,0,75,,,,,,,,,
5.17,SK 와이번스,2,0,0,3,0,0,0,인천,18.2,0,56,,,,,,,,,
5.18,SK 와이번스,9,2,2,8,0,0,1,대전,24.2,0,32,,,,,,,,,
5.19,SK 와이번스,12,3,0,6,1,0,1,대전,23.5,0,31,,,,,,,,,
5.2,SK 와이번스,15,4,0,3,1,0,1,대전,27.2,0,29,,,,,,,,,
5.22,SK 와이번스,7,1,0,6,2,0,0,인천,24.1,0,41,,,,,,,,,
5.23,SK 와이번스,5,0,0,3,0,0,0,인천,22.3,0,36,,,,,,,,,
5.24,SK 와이번스,6,0,0,2,1,1,0,인천,19.1,0,61,,,,,,,,,
5.25,SK 와이번스,6,1,0,6,1,1,0,대구,26.6,0,30,,,,,,,,,
5.26,SK 와이번스,9,0,1,5,0,1,1,대구,28,0,12,,,,,,,,,
5.27,SK 와이번스,11,1,0,6,0,0,1,대구,28.5,0,24,,,,,,,,,
5.29,SK 와이번스,6,0,0,5,0,1,0,서울,23.9,0,32,,,,,,,,,
5.3,SK 와이번스,13,0,1,10,0,0,1,서울,22.5,0,37,,,,,,,,,
5.31,SK 와이번스,10,3,1,8,3,1,0,서울,23.6,0,44,,,,,,,,,
6.1,SK 와이번스,4,1,2,3,0,0,1,인천,22.4,0,59,,,,,,,,,
6.2,SK 와이번스,4,0,0,5,0,0,1,인천,23.6,0,49,,,,,,,,,
6.3,SK 와이번스,8,0,0,5,1,0,0,인천,24.8,0,43,,,,,,,,,
